"track","artist","stream_on_youtube","stream_on_spotify"
"Así Nací","Grupo Marca Registrada","0","7683887"
"NEED A FAVOR","Jelly Roll","0","2910931"
"From Yesterday","Thirty Seconds To Mars","0","76739075"
"Truly","Lionel Richie","0","41831518"
"I Go to Sleep - 2018 Remaster","Pretenders","0","8998166"
"The Hand That Feeds","Nine Inch Nails","0","95955017"
"Rape Me","Nirvana","0","190780281"
"Baby Beluga","Raffi","0","48897763"
"On The Road Again - Live","Sheryl Crow","0","1948126"
"If I Ever Feel Better","Phoenix","0","165027787"
"TOGETHER","Kirk Franklin","0","40518898"
"Come Around Again","Armin van Buuren","0","21656243"
"Suite Bergamasque, L. 75: III. Clair de lune (Andante très expressif)","Claude Debussy","0","66137762"
"It's Been Awhile","Staind","0","243252259"
"Kya Mujhe Pyar Hai (From ""Woh Lamhe"")","KK","0","53822901"
"Raining Blood","Slayer","0","153811288"
"Foregone, Pt. 2","In Flames","0","2376164"
"O Holy Night - 1968 Version","Perry Como","0","7967376"
"Cara da Derrota - Ao Vivo","Gusttavo Lima","0","32872413"
"Me Quiere Besar","Alexis y Fido","0","28068507"
"Te Quiero Pa´Mi","Zion & Lennox","0","265885539"
"Unstoppable - R3HAB Remix","Sia","0","34819346"
"Huwag Kang Matakot","Eraserheads","0","14035958"
"One Minute Man (feat. Ludacris)","Missy Elliott","0","34078715"
"The City's Yours","Jamie Foxx","0","20500255"
"Oh No","Mos Def","0","24372202"
"Aadat Se Majboor","Salim–Sulaiman","0","8037914"
"Soy Yo","Los Yonic's","0","31408291"
"Merry Christmas Everyone","Shakin' Stevens","0","350658024"
"How Great Is Our God","Chris Tomlin","0","82424075"
"Every Breath You Take","The Police","0","1404555748"
"Zindagi Ki Yehi Reet Hai (From ""Koi Jaane Na"")","Laxmikant–Pyarelal","0","1581311"
"Better Be Home Soon","Crowded House","0","69216589"
"Baby Jane - 2008 Remaster","Rod Stewart","0","67064566"
"REMEDY","Alesso","0","309151426"
"Dígale","David Bisbal","0","194589768"
"Deixaria Tudo (Dejaria Todo)","Leonardo","0","9214427"
"Ain't No Mountain High Enough","Marvin Gaye","0","931115362"
"Beautiful","Snoop Dogg","0","202521145"
"Ain't Talkin' 'Bout Love - 2015 Remaster","Van Halen","0","126323886"
"The Departure","Max Richter","0","86888037"
"Yaaro Manathile","Bombay Jayashri","0","5287674"
"Silver Stallion","Kris Kristofferson","0","19385881"
"I'm Gonna Miss Her","Brad Paisley","0","51348342"
"Tender","Blur","0","68028435"
"How You Remind Me","Nickelback","0","718418845"
"20 Rosas","Los Ángeles Azules","0","38212866"
"Wespn Slow","Dybbukk","0","7529341"
"Sangria","Blake Shelton","0","158093054"
"Un Velero Llamado Libertad","José Luis Perales","0","26631324"
"Un Millón de Primaveras","Vicente Fernández","0","150251570"
"Daydream in Blue - Acoustic","I Monster","0","4143685"
"Angel","First Aid Kit","0","5252743"
"De Niña a Mujer","Julio Iglesias","0","23617633"
"À Sua Maneira (De Música Ligera) - Ao Vivo","Capital Inicial","0","45240010"
"Invéntame","Marco Antonio Solís","0","81684233"
"Amazing Grace (My Chains Are Gone)","Chris Tomlin","0","72376065"
"Ajj Din Chadheya","Rahat Fateh Ali Khan","0","41325126"
"Sauce y la Palma","Los Amables Del Norte","0","215090"
"Try Me","James Brown","0","35528590"
"Better Man","Robbie Williams","0","45956641"
