"track","stream_on_youtube","stream_on_spotify"
"Riders on the Storm","0","330157289"
"The Satanic Rites of Blacula","0","3836483"
"Machete","0","9272594"
"The Worst","0","241011213"
"I'm N Luv (Wit a Stripper) (feat. Mike Jones)","0","149689840"
"Saibo","0","183481880"
"Sunday Bloody Sunday - Remastered 2008","0","312372765"
"Soy Soldado","0","17868027"
"My Little Drum","0","20448145"
"Hip To Be Scared [Feat. Jacoby Shaddix]","0","22423686"
"Sunsets For Somebody Else","0","98935792"
"The End Of The World","0","6712368"
"Carolina in My Mind","0","113315832"
"Mother's Journey","0","8830052"
"Genie In a Bottle","0","285315583"
"Tranquillo (Melt My Heart)","0","1805545"
"Should've Gone to Bed","0","3653513"
"For The Night","0","4151788"
"Ride It (Kya Yehi Pyaar Hai) - Hindi Version","0","15995623"
"Let It Snow! Let It Snow! Let It Snow!","0","443994325"
"A Well Respected Man","0","32934677"
"You're Nobody 'Til Somebody Loves You - Remastered/1997","0","44144938"
"Bachata En Fukuoka","0","113764399"
"Polyghost","0","4975756"
"Devil Without a Cause","0","16350873"
"Elevation","0","351514"
"Drop It Like It's Hot","0","466458137"
"A View to a Kill","0","59888563"
"Call It Fate, Call It Karma","0","109438121"
"Life by the Drop","0","32909314"
"Around the Fur","0","36638392"
"Teil 11 - Sherlock Holmes und der blinde Bettler - Die neuen Abenteuer, Folge 50","0","10660"
"Hot Potato","0","69249670"
"Diamond Eyes (Boom-Lay Boom-Lay Boom)","0","98303855"
"Do You Remember? - 2016 Remaster","0","90491486"
"Oceano","0","33382883"
"OLD GENESIS - Remix","0","2072813"
"Cacho a Cacho","0","35066598"
"Cartas Sobre La Mesa","0","6602262"
"Besos","0","50704522"
"Silly Bitch In Love","0","173249"
"Long Way 2 Go","0","96902092"
"Shook Ones, Pt. II - Instrumental","0","3183499"
"Batucada - Ao Vivo","0","176621"
"Pray","0","18501154"
"Cinema - Skrillex Remix","0","135648229"
"Diana","0","7236212"
"LooseScrew","0","52963266"
"Sweet Home Alabama","0","1038381697"
"Waiting In Vain","0","219794068"
"Crooked Teeth","0","39378045"
"Persona Ideal - Me Tengo Que Ir","0","157742522"
"KOA","0","8198481"
"Wildflowers","0","144439192"
"Young Guns (Go for It!)","0","10267901"
"Progeny","0","26526276"
"Primo Victoria","0","93119440"
"Azagiya Laila (From ""Ullathai Alli Thaa"")","0","5279286"
"Humble And Kind","0","201327413"
"Penelope","0","38502583"
"Puto","0","85448207"
"Playa Sola","0","57654380"
"Bills, Bills, Bills","0","232030972"
"Beautiful Noise","0","25680695"
"One Shirt (feat. Jonzing World)","0","3409367"
"Whenever You Come Around","0","16532693"
"Sedih Tak Berujung","0","33541578"
"Drunk On A Plane","0","206913992"
"Ice Cream (feat. Ghostface Killah, Method Man & Cappadonna)","0","58285035"
"Y Te Amo","0","30000262"
"Cheiro do Mato","0","10817532"
"Mrs. Robinson - From ""The Graduate"" Soundtrack","0","457568583"
"Boogie Woogie Wu","0","37615106"
"Killer Queen - Remastered 2011","0","612430173"
"Donde Mi No Vengas","0","621988"
"Rain On The Scarecrow","0","12917380"
"Better Man","0","403624578"
"Merry Christmas","0","133344222"
"Sometimes,IDontUnderstand","0","5620855"
"Be Good Johnny","0","12305120"
"White Noise Waves","0","12181116"
"Drip or Drown","0","172270149"
"DJ Got Us Fallin' In Love (feat. Pitbull)","0","586592445"
"Check (feat. Samra)","0","3804477"
"Blue Clear Sky","0","49595267"
"Un violinista en tu tejado","0","79809319"
"Él Lo Tiene Todo","0","53543680"
"Lamberto Quintero","0","43729700"
"Shook Ones, Pt. II","0","383671758"
"I Want You","0","167992801"
"Never Hating (feat. Young Thug)","0","26329786"
"Hold The Line (feat. grandson)","0","4719616"
"Red Flag","0","169711066"
"Coração Bobo - Ao Vivo","0","45173880"
"I've Got a Dream - From ""Tangled""/Soundtrack Version","0","108989979"
"Adorn","0","309279551"
"Too Late For Love","0","16050578"
"If You Were a Woman (And I Was a Man)","0","9534612"
"Meu Novo Mundo","0","67996442"
"Stop This Flame - Celeste x MK","0","24310505"
"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 12d, Divertissement. Trepak, Russian Dance","0","7527716"
"Rebel Rebel - 2016 Remaster","0","310269583"
"25 or 6 to 4 - 2002 Remaster","0","93536322"
"Don't Fly Away (PNAU Remix)","0","4788312"
"I Don't Wanna Lose You","0","47039402"
"Quédate","0","10438556"
"Film Favorit","0","47581462"
"Touch","0","142876350"
"Musica (feat. Ninho)","0","22154699"
"Break Ya Neck","0","220334731"
"Monalisa","0","44683570"
"Kapitel 10: Der Hexenbesenausflug (Folge 146)","0","289895"
"Big in Japan - Single Version; 2019 Remaster","0","81325428"
"Million Dollars Worth of Game (feat. 42 Dugg)","0","38707318"
"Carnival of the Animals: The Swan","0","17079428"
"All Day and All of the Night","0","172618849"
"In For It","0","76686049"
"No Particular Place To Go","0","79570866"
"Hallucination","0","61788746"
"Na De Na","0","215280183"
"Woof","0","7367812"
"Train Wreck","0","576499792"
"Runnin' Down A Dream","0","225210383"
"The Mask","0","7717822"
"Never Say Never","0","206566798"
"Physical - Remastered 2021","0","64915385"
"Pretty Girl Rock","0","143611713"
"Usted","30059201","137916795"
"Un Poco de Amor Francés","0","56682638"
"Down","0","525143632"
"Knockin' On Heaven's Door","0","827793508"
"Saudade de minha terra","0","8253647"
"My Favorite Things - Stereo","0","6776586"
"Forte","0","31261028"
"El Ritmo de Mi Corazón","0","24944152"
"Hollywood","0","117512180"
"Soñador Eterno","0","71217509"
"Turandot, SC 91 / Act 3: Nessun dorma","0","633287"
"Orgullo","0","23821960"
"Pale Blue Eyes","0","120139229"
"Time After Time","0","598088015"
"Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam","0","19193719"
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","0","638746688"
"Can't Help but Wait","0","93569649"
"Ropa Interior","0","10348683"
"Let's Stay Together - 2015 Remaster","0","37860058"
"The Riddle - Radio Edit Mix","0","37534860"
"Tu Recuerdo (feat. La Mari De Chambao & Tommy Torres) - MTV Unplugged Version","0","140538134"
"How You Remind Me","0","718418845"
"Shadowboxin'","0","82304362"
"Por Hacerme el Bueno","0","62705845"
"Gehasst, Verdammt, Vergöttert","0","9823118"
"Ave Maria","0","101929785"
"Feeling Good - Austin Millz Remix","0","2292721"
"Here Is Gone","0","35804165"
"One Minute Man (feat. Ludacris)","0","34078715"
"Männer sind Schweine","0","20920294"
"Scenario - LP Mix","0","48015789"
"Bin Tere","0","26327339"
"Solo Me Dejaste","0","72992811"
"Look For The Good - Single Version","0","36296564"
"Mi Piquito De Oro","0","28617246"
"Sorrow - From ""Gladiator"" Soundtrack","0","36481740"
"Gotta Have It","0","128273029"
"Jerry Sprunger (with T-Pain)","0","132840820"
"Persona Ideal","0","70323607"
"Loco (Tu Forma de Ser) [Ft. Rubén Albarrán] - MTV Unplugged","0","148463447"
"Nila Adhu Vanathumele","0","4816441"
"How Come","0","39028758"
"Total Ya Se Fue","0","27576459"
"152 - und das Geheimnis der Kelly Brüder - Teil 05","0","39997"
"I Will Remember","0","21546571"
"Pierwszy Cz?owiek Na Ksi??ycu","0","873155"
"Woman - Remastered 2010","0","218653138"
"KHRBR","0","31784221"
"Ek Din Aap (From ""Yes Boss"")","0","48255328"
"Can't Get Enough Of You Baby","0","19048341"
"Sweet Talker","0","48387411"
"Shake","0","40036878"
"The Number of the Beast - 2015 Remaster","0","190287145"
"A Veces Bien Y A Veces Mal","0","17627274"
"NUN SE VER (feat. Guè)","0","7146404"
"My Feelings For You - Don Diablo Remix","0","11023495"
"Something About Us","0","185381876"
"No Me Hablen de Amor","0","29186762"
"Maquillaje","0","53154409"
"All I Really Want - 2015 Remaster","0","27216754"
"La Pareja Ideal","0","95252036"
"Like Her Too","0","1229637"
"The End Of The Innocence","0","67084049"
"Venezia","0","83256610"
"Vienna","0","324222155"
"Modern Love - 2018 Remaster","0","142180837"
"Polvo de mariposas","0","16334695"
"I Can Love You","0","29107190"
"Love Like This (feat. Sean Kingston)","0","40084435"
"Jambi","0","45580275"
"Aces High - 2015 Remaster","0","89794397"
"Rake It Up - Diplo & Party Favor Remix","0","42164265"
"Going to California - Remaster","0","176187775"
"Put The Minks Down (feat. 42 Dugg)","0","7027640"
"Valerie (feat. Amy Winehouse) - Version Revisited","0","280473184"
"Freedom Was A Highway","0","56261337"
"Here We Go Again","0","39204688"
"Human Fly","0","28043008"
"Doruklara Sevdaland?m","0","18253862"
"Capriol Suite: 5. Pied-en- l'air","0","6859228"
"Alô Ex - Ao Vivo","0","3360784"
"Narcolepsy","0","10248839"
"Eslabón Por Eslabón","0","51946198"
"Me Olvide De Vivir","0","72083851"
"Chevaliers De Sangreal - From The Da Vinci Code Original Motion Picture Soundtrack","0","55582162"
"Chain Reaction","0","48800293"
"Como Te Recuerdo","0","60677557"
"Always On The Run","0","34376946"
"I Need a Girl (Pt. 1) [feat. Usher & Loon]","0","92344062"
"Eu Quero Recair - Ao Vivo","0","11222055"
"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 - ""Moonlight"": I. Adagio sostenuto","0","29992648"
"Waiting On the World to Change","0","333846640"
"Just","0","88945336"
"It Don't Matter to Me","0","13453197"
"Greased Lightnin'","0","81585201"
"It's Five O'Clock Somewhere (with Jimmy Buffett)","0","203334276"
"This Must Be the Place (Naive Melody) - 2005 Remaster","0","212239903"
"Thuggish Ruggish Bone","0","103041320"
"12 Songs, Op. 21: V. Lilacs (Transcr. Rachmaninoff for Solo Piano)","0","17449365"
"Palmtree Panic - ”P” mix","0","3290468"
"Middle of the Road - 2007 Remaster","0","13824833"
"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major","0","31057579"
"When I Get You Alone","0","9897116"
"Worlds On Fire (with R3HAB & Au/Ra)","0","34018574"
"Born in Winter","0","19006181"
"Lux aeterna: III. O nata lux","0","119818"
"Mejor Ya No","0","24151895"
"Ennai Thalatta Varuvala (Duet)","0","6848767"
"System (feat. WizKid)","0","104193384"
"Sakura Sake","0","10357377"
"Enna Solla Pogirai","0","22375465"
"DEEP END","0","2873227"
"Píntame","0","35764252"
"Otra Como Tu","0","152554773"
"Con Todos Menos Conmigo","0","171334435"
"Your Precious Love","0","19428140"
"Westside Story","0","49390043"
"Dime la Verdad","0","14739870"
"Turn Me On","0","165656395"
"Nemo","0","65405454"
"Terra de Gigantes","0","24967915"
"Ave María","0","54207725"
"My Time","0","32635424"
"She's The One","0","136332369"
"Mary Jane's Last Dance","0","256341255"
"Under Pressure - Remastered 2011","0","1244601242"
"Body and Soul","0","76557869"
"The First Of Me","0","3370146"
"BREAK MY SOUL","0","276384322"
"Die Nacht (Arr. for Cello and Guitar by Anja Lechner and Pablo Márquez)","0","11366336"
"Hold the Line","0","528069993"
"Say Something (feat. Chris Stapleton)","0","448484025"
"Dame tu aire","0","14800115"
"M&F","0","17889992"
"All My Life","0","320737232"
"Era Um Garoto Que Como Eu Amava Os Beatles E Os Rollings Stones (C'Era Un Ragazzo Che Come Me Amava I Beatles E I Rolling Stones) - Ao Vivo","0","13149876"
"Love Don't Die","0","50303261"
"Let Me Go","0","48999602"
"UNITY","0","2980352"
"Unpretty","0","74168689"
